WN_30_id	UKC_local_concept_id
00107984-a	74492
00108145-a	74493
00108263-a	74494
00108434-a	74495
00108595-a	74496
00108698-a	74497
00109016-a	74498
00109133-a	74499
00109261-a	74500
00109382-a	74501
00109504-a	74502
00109633-a	74503
00109782-a	74504
00109966-a	74505
00110252-a	74506
00110497-a	74507
00110701-a	74508
00110853-a	74509
00111129-a	74510
00111415-a	74511
00111604-a	74512
00111856-a	74513
00112018-a	74514
00112231-a	74515
00112628-a	74516
00113015-a	74517
00113245-a	74518
00113476-a	74519
00113663-a	74520
00113818-a	74521
00114266-a	74522
00114454-a	74523
00114797-a	74524
00114921-a	74525
00115094-a	74526
00115193-a	74527
00115494-a	74528
00115777-a	74529
00115906-a	74530
00116058-a	74531
00116245-a	74532
00116463-a	74533
00116529-a	74534
00116744-a	74535
00116940-a	74536
00117106-a	74537
00117235-a	74538
00117385-a	74539
00117654-a	74540
00117754-a	74541
00117961-a	107167
00118066-a	74543
00118238-a	74544
00118451-a	74545
00118567-a	74546
00118844-a	74547
00119006-a	74548
00119279-a	74549
00119409-a	74550
00119533-a	74551
00119750-a	74552
00119875-a	74553
00119993-a	74554
00120132-a	74555
00120252-a	74556
00120411-a	74557
00120574-a	74558
00120784-a	74559
00121034-a	74560
00121183-a	91892
00121376-a	74562
00121552-a	74563
00121649-a	74564
00121865-a	74565
00122128-a	74566
00122245-a	74567
00122386-a	74568
00122626-a	74569
00122844-a	74570
00123485-a	74571
00123653-a	74572
00123804-a	74573
00123961-a	74574
00124077-a	74575
00124353-a	74576
00124493-a	74577
00124685-a	74578
00124918-a	74579
00125068-a	81674
00125170-a	81675
00125319-a	74580
00125553-a	74581
00125711-a	74582
00125993-a	74583
00126116-a	74584
00126235-a	74585
00126339-a	74586
00126497-a	74587
00126702-a	74588
00126830-a	74589
00127137-a	74590
00127296-a	74591
00127543-a	74592
00127661-a	74593
00127815-a	74594
00127948-a	74595
00128137-a	74596
00128262-a	74597
00128467-a	74598
00128572-a	74599
00128733-a	74600
00128882-a	74601
00129029-a	74602
00129103-a	74603
00129276-a	74604
00129467-a	74605
00129612-a	74606
00129729-a	74607
00129878-a	74608
00130017-a	74609
00130151-a	74610
00130281-a	74611
00130412-a	74612
00130518-a	74613
00130596-a	74614
00130701-a	74615
00130778-a	74616
00131018-a	74617
00131176-a	74618
00131297-a	74619
00131426-a	74620
00131692-a	74621
00131863-a	74622
00132040-a	74623
00132127-a	74624
00132385-a	74625
00132754-a	74626
00132849-a	74627
00133065-a	74628
00133259-a	74629
00133335-a	74630
00133417-a	74631
00133669-a	74632
00133851-a	74633
00134060-a	74635
00134251-a	74636
00134401-a	74637
00134562-a	74638
00134701-a	74639
00135092-a	74640
00135193-a	74641
00135342-a	107296
00135455-a	74643
00135718-a	74644
00136081-a	74645
00136185-a	74646
00136354-a	74647
00136589-a	74648
00136727-a	74649
00136884-a	74650
00137120-a	74651
00137277-a	74653
00137373-a	74654
00137501-a	74655
00137641-a	74656
00137725-a	74657
00137943-a	74658
00138169-a	74659
00138314-a	74660
00138622-a	74661
00138782-a	74662
00138912-a	74663
00139126-a	74664
00139344-a	74665
00139492-a	74666
00139702-a	74667
00139870-a	74668
00139990-a	74669
00140075-a	74670
00140233-a	74671
00140437-a	74672
00140542-a	74673
00140880-a	74674
00140989-a	74675
00141111-a	74676
00141316-a	74677
00141429-a	74678
00141522-a	74679
00141647-a	74680
00141746-a	74681
00141818-a	74682
00141947-a	74683
00142040-a	74684
00142270-a	74685
00142407-a	74686
00142622-a	74687
00142704-a	74688
00142825-a	74689
00142917-a	74690
00143201-a	74691
00143294-a	74692
00143376-a	74693
00143516-a	74694
00143589-a	74695
00143854-a	74696
00144020-a	74697
00144102-a	74698
00144244-a	74699
00144408-a	74700
00144510-a	74701
00144598-a	74703
00144728-a	74704
00144877-a	74705
00145083-a	74706
00145628-a	74707
00145706-a	74708
00145805-a	74709
00145883-a	74710
00145995-a	74711
00146128-a	74712
00146210-a	74713
00146430-a	74714
00146501-a	74715
00146609-a	74716
00146693-a	74717
00146786-a	74718
00146883-a	74719
00147052-a	74721
00147160-a	74722
00147397-a	74723
00147528-a	74724
00147659-a	93401
00147734-a	74726
00148078-a	74729
00148642-a	74730
00148852-a	74731
00149120-a	74732
00149262-a	74733
00149461-a	74734
00149686-a	74735
00149861-a	74736
00150055-a	74737
00150202-a	74739
00150505-a	74741
00150835-a	74743
00150936-a	74744
00151105-a	74745
00151530-a	74746
00151661-a	74747
00151855-a	74748
00152004-a	74749
00152104-a	74752
00152285-a	74753
00152629-a	74754
00152784-a	74755
00152896-a	74756
00153083-a	74758
00153239-a	74759
00153410-a	74761
00153545-a	74762
00153652-a	74763
00153789-a	74764
00153898-a	74765
00154163-a	74766
00154270-a	74767
00154583-a	74768
00154837-a	74769
00154965-a	74770
00155144-a	74771
00155720-a	107468
00155886-a	74773
00156101-a	74774
00156440-a	74775
00156575-a	74776
00156839-a	74777
00157080-a	74778
00157268-a	74779
00157389-a	74780
00157659-a	74781
00157849-a	74782
00157925-a	74783
00158110-a	74784
00158238-a	74785
00158332-a	74786
00158407-a	74787
00158546-a	74788
00158701-a	74789
00158864-a	74790
00158961-a	74791
00159106-a	74792
00159267-a	74793
00159381-a	74794
00159498-a	74795
00159735-a	74796
00159975-a	74797
00160144-a	74798
00160288-a	74799
00160425-a	74800
00160573-a	74801
00160768-a	74802
00160957-a	74803
00161065-a	74804
00161170-a	74805
00161276-a	74806
00161431-a	74807
00161684-a	74808
00161878-a	74809
00161993-a	74810
00162083-a	74811
00162248-a	74812
00162386-a	74813
00162661-a	74814
00162863-a	74815
00162990-a	74816
00163315-a	74817
00163480-a	74818
00163592-a	74819
00163948-a	74820
00164308-a	74821
00164462-a	74822
00164598-a	74823
00164681-a	74824
00164863-a	74825
00165171-a	74826
00165458-a	74827
00165585-a	74828
00165766-a	107541
00165943-a	74830
00166146-a	74831
00166753-a	74832
00167077-a	74833
00167278-a	74834
00167520-a	74835
00167671-a	74836
00167829-a	74837
00168039-a	78438
00168188-a	74838
00168551-a	74839
00168694-a	74840
00168820-a	74841
00168910-a	74842
00169056-a	74843
00169164-a	74844
00169432-a	74845
00169692-a	74846
00169826-a	74847
00169955-a	74848
00170156-a	74849
00170358-a	74850
00170717-a	74851
00170847-a	74852
00171044-a	74853
00171292-a	74854
00171447-a	74855
00171590-a	74856
00171872-a	74657
00172172-a	74858
00172308-a	74859
00172452-a	74860
00172562-a	74861
00172774-a	74862
00172993-a	74863
00173220-a	74864
00173391-a	74865
00173694-a	74866
00173764-a	74867
00174056-a	74868
00174150-a	74869
00174243-a	74870
00174379-a	74871
00174719-a	74872
00174879-a	74873
00174983-a	74874
00175123-a	74875
00175300-a	74876
00175435-a	74877
00175528-a	74878
00175719-a	74879
00175887-a	74880
00176150-a	74881
00176387-a	74882
00176676-a	74883
00176838-a	74884
00176991-a	74885
00177186-a	74886
00177547-a	74887
00177834-a	74888
00177963-a	74889
00178126-a	74890
00178464-a	74891
00178575-a	74892
00178811-a	74893
00179035-a	74894
00179190-a	74895
00179315-a	74896
00179486-a	74897
00179676-a	74898
00179815-a	74899
00179925-a	74900
00180211-a	74901
00180359-a	74902
00180496-a	74903
00180655-a	74904
00180835-a	74905
00181030-a	74906
00181162-a	74907
00181264-a	74908
00181373-a	74909
00181476-a	74910
00181904-a	74911
00182086-a	74912
00182225-a	74913
00182418-a	74914
00182510-a	74915
00182639-a	74916
00182718-a	74917
00182843-a	74918
00182961-a	74919
00183053-a	74920
00183675-a	74921
00183832-a	74922
00183932-a	74923
00184075-a	93601
00184229-a	74925
00184363-a	74926
00184543-a	74927
00184676-a	74928
00184792-a	74929
00185020-a	74930
00185160-a	74931
00185363-a	74932
00185509-a	74933
00185607-a	74934
00185759-a	74935
00185921-a	74936
00186193-a	74937
00186490-a	74938
00186616-a	74939
00186925-a	74940
00187049-a	74941
00187176-a	74942
00187443-a	74943
00187590-a	74944
00187736-a	74945
00188058-a	74946
00188155-a	74947
00188436-a	74948
00188738-a	74949
00188917-a	74950
00189017-a	74951
00189253-a	74952
00189511-a	74953
00189580-a	74954
00189833-a	74955
00190023-a	74956
00190115-a	74957
00190653-a	74958
00190960-a	93635
00191265-a	74960
00191603-a	74961
00192026-a	74962
00192332-a	74963
00192523-a	74964
00192756-a	74965
00192880-a	74966
00193015-a	74967
00193367-a	74968
00193480-a	74969
00193799-a	74970
00194357-a	74971
00194817-a	74972
00194924-a	74973
00195191-a	74974
00195383-a	74975
00195684-a	74976
00196122-a	74977
00196233-a	74978
00196312-a	74979
00196449-a	74980
00196560-a	74981
00196664-a	74983
00196799-a	74984
00196934-a	74985
00197151-a	74986
00197247-a	74987
00197319-a	74988
00197447-a	74989
00197576-a	74990
00197773-a	74991
00197891-a	74992
00198147-a	74993
00198383-a	74994
00198610-a	74995
00198757-a	74996
00198904-a	74997
00199114-a	74998
00199463-a	74999
00199569-a	75000
00199811-a	75001
00200026-a	75003
00200258-a	75004
00200431-a	75005
00200529-a	75006
00200603-a	75007
00200760-a	75008
00200854-a	75009
00200979-a	75010
00201130-a	75011
00201259-a	75012
00201354-a	75013
00201722-a	75014
00201802-a	75015
00201961-a	75016
00202095-a	75017
00202250-a	75018
00202411-a	93696
00202508-a	75020
00202677-a	75021
00202772-a	75022
00202875-a	75023
00203030-a	75024
00203123-a	75025
00203237-a	75026
00203495-a	75027
00203614-a	75028
00203774-a	75029
00203917-a	75032
00204077-a	75033
00204249-a	75034
00204491-a	75035
00204779-a	75036
00205033-a	75037
00205150-a	75038
00205295-a	75039
00205696-a	75040
00206003-a	75041
00206127-a	75042
00206205-a	75043
00206317-a	75044
00206403-a	75045
00206627-a	75046
00206750-a	75047
00206900-a	75048
00207034-a	75049
00207133-a	75050
00207226-a	75051
00207305-a	75052
00207389-a	75053
00207467-a	75054
00207547-a	75055
00207706-a	75056
00207809-a	75057
00207887-a	75058
00207961-a	75059
00208052-a	75060
00208150-a	75061
00208229-a	75062
