concept_id,wn30_id,domain
100345,01563575-v,verb.contact
100346,01563724-v,verb.contact
100347,01563996-v,verb.contact
100348,01564144-v,verb.contact
100349,01564836-v,verb.contact
10035,01994176-n,noun.animal
100350,01565028-v,verb.contact
100351,01565211-v,verb.contact
100352,01565360-v,verb.contact
100353,01565472-v,verb.contact
100354,01565795-v,verb.contact
100355,01565921-v,verb.contact
100356,01566038-v,verb.contact
100357,01566185-v,verb.contact
100358,01566490-v,verb.contact
100359,01566705-v,verb.contact
10036,01994492-n,noun.animal
100360,01566916-v,verb.contact
100361,01567183-v,verb.contact
100362,01567275-v,verb.contact
100363,01567653-v,verb.contact
100364,01567754-v,verb.contact
100365,01567888-v,verb.contact
100366,01568145-v,verb.contact
100367,01568346-v,verb.contact
100368,01568489-v,verb.contact
100369,01568630-v,verb.contact
10037,01994801-n,noun.animal
100370,01568886-v,verb.contact
100371,01569017-v,verb.contact
100372,01569181-v,verb.contact
100373,01569566-v,verb.contact
100374,01569896-v,verb.contact
100375,01570108-v,verb.contact
100376,01575117-n,noun.animal
100377,01570403-v,verb.contact
100378,01570562-v,verb.contact
100379,01570744-v,verb.contact
10038,01994910-n,noun.animal
100380,01570935-v,verb.contact
100381,01571354-v,verb.contact
100382,01571538-v,verb.contact
100383,01571744-v,verb.contact
100384,01572003-v,verb.contact
100385,01572224-v,verb.contact
100386,01572386-v,verb.contact
100387,01572510-v,verb.contact
100388,01572728-v,verb.contact
100389,01572978-v,verb.contact
10039,01995137-n,noun.animal
100390,01573143-v,verb.contact
100391,01573276-v,verb.contact
100392,01573515-v,verb.contact
100393,01573891-v,verb.contact
100394,01574077-v,verb.contact
100395,01574292-v,verb.contact
100396,01574571-v,verb.contact
100397,01574766-v,verb.contact
100398,01574923-v,verb.contact
100399,01575146-v,verb.contact
1004,00217014-n,noun.act
10040,01995323-n,noun.animal
100400,01575388-v,verb.contact
100401,01575536-v,verb.contact
100402,01575675-v,verb.contact
100403,01576001-v,verb.contact
100404,01576165-v,verb.contact
100405,01576478-v,verb.contact
100406,01576779-v,verb.contact
100407,01576917-v,verb.contact
100408,01577093-v,verb.contact
100409,01577513-v,verb.contact
10041,01995514-n,noun.animal
100410,01577635-v,verb.contact
100411,01577966-v,verb.contact
100412,01578254-v,verb.contact
100413,01578513-v,verb.contact
100414,01578714-v,verb.contact
100415,01511031-a,adj.all
100416,01578993-v,verb.contact
100417,01579153-v,verb.contact
100418,01579340-v,verb.contact
100419,01579488-v,verb.contact
10042,01995686-n,noun.animal
100420,01579622-v,verb.contact
100421,01579813-v,verb.contact
100422,01580142-v,verb.contact
100423,01580250-v,verb.contact
100424,01580348-v,verb.contact
100425,01580467-v,verb.contact
100426,01580928-v,verb.contact
100427,01581070-v,verb.contact
100429,01581217-v,verb.contact
10043,01995803-n,noun.animal
100430,01581362-v,verb.contact
100431,01581485-v,verb.contact
100432,01581635-v,verb.contact
100433,01581789-v,verb.contact
100434,01581933-v,verb.contact
100435,01582070-v,verb.contact
100436,01582200-v,verb.contact
100437,01582409-v,verb.contact
100438,01582645-v,verb.contact
100439,01583142-v,verb.contact
10044,01995975-n,noun.animal
100440,01583344-v,verb.contact
100441,01583494-v,verb.contact
100442,01583656-v,verb.contact
100443,01583881-v,verb.contact
100444,01583993-v,verb.contact
100445,01584199-v,verb.contact
100446,01584321-v,verb.contact
100447,01584450-v,verb.contact
100448,01584701-v,verb.contact
100449,01584875-v,verb.contact
10045,01996091-n,noun.animal
100450,01585021-v,verb.contact
100451,01585142-v,verb.contact
100452,01585276-v,verb.contact
100453,01585390-v,verb.contact
100454,01585523-v,verb.contact
100455,01585759-v,verb.contact
100456,01586018-v,verb.contact
100457,01586278-v,verb.contact
100458,01586600-v,verb.contact
100459,01586738-v,verb.contact
10046,01996280-n,noun.animal
100460,01586850-v,verb.contact
100461,01587062-v,verb.contact
100462,01587575-v,verb.contact
100463,01587705-v,verb.contact
100464,01587818-v,verb.contact
100465,01587984-v,verb.contact
100466,01588134-v,verb.contact
100467,01588297-v,verb.contact
100468,01588493-v,verb.contact
100469,01589056-v,verb.contact
10047,01996392-n,noun.animal
100470,01589224-v,verb.contact
100471,01589363-v,verb.contact
100472,01589497-v,verb.contact
100473,01589723-v,verb.contact
100474,01589869-v,verb.contact
100475,01590007-v,verb.contact
100476,01590171-v,verb.contact
100477,01590389-v,verb.contact
100478,01590523-v,verb.contact
100479,01590658-v,verb.contact
10048,01996585-n,noun.animal
100480,01590747-v,verb.contact
100481,01590915-v,verb.contact
100482,01591012-v,verb.contact
100483,01591158-v,verb.contact
100484,01591357-v,verb.contact
100485,01591476-v,verb.contact
100486,01591621-v,verb.contact
100487,01591835-v,verb.contact
100488,01591940-v,verb.contact
100489,01592072-v,verb.contact
10049,01996895-n,noun.animal
100490,01592306-v,verb.contact
100491,01592456-v,verb.contact
100492,01592669-v,verb.contact
100493,01592774-v,verb.contact
100494,01593011-v,verb.contact
100495,01524445-a,adj.all
100496,01593254-v,verb.contact
100497,01593614-v,verb.contact
100498,01593763-v,verb.contact
100499,01593937-v,verb.contact
1005,00217499-n,noun.act
10050,01997002-n,noun.animal
100500,01594362-v,verb.contact
100501,01594514-v,verb.contact
100502,01594664-v,verb.contact
100503,01594782-v,verb.contact
100504,01594978-v,verb.contact
100505,01595149-v,verb.contact
100506,01595260-v,verb.contact
100507,01595491-v,verb.contact
100508,01595605-v,verb.contact
100509,01595697-v,verb.contact
10051,01997119-n,noun.animal
100510,01595830-v,verb.contact
100511,01596056-v,verb.contact
100512,01596404-v,verb.contact
100513,01596645-v,verb.contact
100514,01596855-v,verb.contact
100515,01596972-v,verb.contact
100516,01597096-v,verb.contact
100517,01597286-v,verb.contact
100518,01597662-v,verb.contact
100519,01597832-v,verb.contact
10052,01997436-n,noun.animal
100520,01597995-v,verb.contact
100521,01598140-v,verb.contact
100522,01598255-v,verb.contact
100523,01598395-v,verb.contact
100524,01598507-v,verb.contact
100525,01598637-v,verb.contact
100526,01598785-v,verb.contact
100527,01598921-v,verb.contact
100528,01599052-v,verb.contact
100529,01599225-v,verb.contact
10053,01997605-n,noun.animal
100530,01599325-v,verb.contact
100531,01599435-v,verb.contact
100532,01599539-v,verb.contact
100533,01599666-v,verb.contact
100534,01599805-v,verb.contact
100535,01599983-v,verb.contact
100536,01600098-v,verb.contact
100537,01600191-v,verb.contact
100538,01600355-v,verb.contact
100539,01600478-v,verb.contact
10054,01997698-n,noun.animal
100540,01600600-v,verb.contact
100541,01600759-v,verb.contact
100542,01600873-v,verb.contact
100543,01601025-v,verb.contact
100544,01601147-v,verb.contact
100545,01601234-v,verb.contact
100546,01601685-v,verb.contact
100547,01601934-v,verb.contact
100548,01602096-v,verb.contact
100549,01602191-v,verb.contact
10055,01997825-n,noun.animal
100550,01602318-v,verb.contact
100551,01602527-v,verb.contact
100552,01602665-v,verb.contact
100553,01602821-v,verb.contact
