source,target,relation
concept:100085,synset:01513290-v,mapped_to_synset
concept:100085,domain:verb.contact,belongs_to_domain
concept:100086,synset:01513430-v,mapped_to_synset
concept:100086,domain:verb.contact,belongs_to_domain
concept:100087,synset:01513710-v,mapped_to_synset
concept:100087,domain:verb.contact,belongs_to_domain
concept:100088,synset:01513838-v,mapped_to_synset
concept:100088,domain:verb.contact,belongs_to_domain
concept:100089,synset:01513990-v,mapped_to_synset
concept:100089,domain:verb.contact,belongs_to_domain
concept:10009,synset:01990007-n,mapped_to_synset
concept:10009,domain:noun.animal,belongs_to_domain
concept:100090,synset:01514126-v,mapped_to_synset
concept:100090,domain:verb.contact,belongs_to_domain
concept:100091,synset:01514248-v,mapped_to_synset
concept:100091,domain:verb.contact,belongs_to_domain
concept:100092,synset:01514348-v,mapped_to_synset
concept:100092,domain:verb.contact,belongs_to_domain
concept:100093,synset:01514525-v,mapped_to_synset
concept:100093,domain:verb.contact,belongs_to_domain
concept:100094,synset:01514655-v,mapped_to_synset
concept:100094,domain:verb.contact,belongs_to_domain
concept:100095,synset:01514887-v,mapped_to_synset
concept:100095,domain:verb.contact,belongs_to_domain
concept:100096,synset:01515056-v,mapped_to_synset
concept:100096,domain:verb.contact,belongs_to_domain
concept:100097,synset:01515196-v,mapped_to_synset
concept:100097,domain:verb.contact,belongs_to_domain
concept:100098,synset:01515415-v,mapped_to_synset
concept:100098,domain:verb.contact,belongs_to_domain
concept:100099,synset:01515566-v,mapped_to_synset
concept:100099,domain:verb.contact,belongs_to_domain
concept:1001,synset:00216174-n,mapped_to_synset
concept:1001,domain:noun.act,belongs_to_domain
concept:10010,synset:01990186-n,mapped_to_synset
concept:10010,domain:noun.animal,belongs_to_domain
concept:100100,synset:01515791-v,mapped_to_synset
concept:100100,domain:verb.contact,belongs_to_domain
concept:100101,synset:01515924-v,mapped_to_synset
concept:100101,domain:verb.contact,belongs_to_domain
concept:100102,synset:01516071-v,mapped_to_synset
concept:100102,domain:verb.contact,belongs_to_domain
concept:100103,synset:01516290-v,mapped_to_synset
concept:100103,domain:verb.contact,belongs_to_domain
concept:100104,synset:01516534-v,mapped_to_synset
concept:100104,domain:verb.contact,belongs_to_domain
concept:100105,synset:01516865-v,mapped_to_synset
concept:100105,domain:verb.contact,belongs_to_domain
concept:100106,synset:01516965-v,mapped_to_synset
concept:100106,domain:verb.contact,belongs_to_domain
concept:100108,synset:01517055-v,mapped_to_synset
concept:100108,domain:verb.contact,belongs_to_domain
concept:100109,synset:01517175-v,mapped_to_synset
concept:100109,domain:verb.contact,belongs_to_domain
concept:10011,synset:01990383-n,mapped_to_synset
concept:10011,domain:noun.animal,belongs_to_domain
concept:100110,synset:01517355-v,mapped_to_synset
concept:100110,domain:verb.contact,belongs_to_domain
concept:100111,synset:01517515-v,mapped_to_synset
concept:100111,domain:verb.contact,belongs_to_domain
concept:100112,synset:01517662-v,mapped_to_synset
concept:100112,domain:verb.contact,belongs_to_domain
concept:100113,synset:01518047-v,mapped_to_synset
concept:100113,domain:verb.contact,belongs_to_domain
concept:100114,synset:01518203-v,mapped_to_synset
concept:100114,domain:verb.contact,belongs_to_domain
concept:100115,synset:01518343-v,mapped_to_synset
concept:100115,domain:verb.contact,belongs_to_domain
concept:100116,synset:01518449-v,mapped_to_synset
concept:100116,domain:verb.contact,belongs_to_domain
concept:100117,synset:01518552-v,mapped_to_synset
concept:100117,domain:verb.contact,belongs_to_domain
concept:100118,synset:01518659-v,mapped_to_synset
concept:100118,domain:verb.contact,belongs_to_domain
concept:100119,synset:01518772-v,mapped_to_synset
concept:100119,domain:verb.contact,belongs_to_domain
concept:10012,synset:01990516-n,mapped_to_synset
concept:10012,domain:noun.animal,belongs_to_domain
concept:100120,synset:01518924-v,mapped_to_synset
concept:100120,domain:verb.contact,belongs_to_domain
concept:100121,synset:01519184-v,mapped_to_synset
concept:100121,domain:verb.contact,belongs_to_domain
concept:100122,synset:01519321-v,mapped_to_synset
concept:100122,domain:verb.contact,belongs_to_domain
concept:100123,synset:01519446-v,mapped_to_synset
concept:100123,domain:verb.contact,belongs_to_domain
concept:100124,synset:01519569-v,mapped_to_synset
concept:100124,domain:verb.contact,belongs_to_domain
concept:100125,synset:01519727-v,mapped_to_synset
concept:100125,domain:verb.contact,belongs_to_domain
concept:100126,synset:01519857-v,mapped_to_synset
concept:100126,domain:verb.contact,belongs_to_domain
concept:100127,synset:01519977-v,mapped_to_synset
concept:100127,domain:verb.contact,belongs_to_domain
concept:100128,synset:01520454-v,mapped_to_synset
concept:100128,domain:verb.contact,belongs_to_domain
concept:100129,synset:01520655-v,mapped_to_synset
concept:100129,domain:verb.contact,belongs_to_domain
concept:10013,synset:01990627-n,mapped_to_synset
concept:10013,domain:noun.animal,belongs_to_domain
concept:100130,synset:01520844-v,mapped_to_synset
concept:100130,domain:verb.contact,belongs_to_domain
concept:100131,synset:01521124-v,mapped_to_synset
concept:100131,domain:verb.contact,belongs_to_domain
concept:100132,synset:01521367-v,mapped_to_synset
concept:100132,domain:verb.contact,belongs_to_domain
concept:100133,synset:01521603-v,mapped_to_synset
concept:100133,domain:verb.contact,belongs_to_domain
concept:100134,synset:01521813-v,mapped_to_synset
concept:100134,domain:verb.contact,belongs_to_domain
concept:100135,synset:01521912-v,mapped_to_synset
concept:100135,domain:verb.contact,belongs_to_domain
concept:100136,synset:01522052-v,mapped_to_synset
concept:100136,domain:verb.contact,belongs_to_domain
concept:100137,synset:01522276-v,mapped_to_synset
concept:100137,domain:verb.contact,belongs_to_domain
concept:100138,synset:01457486-a,mapped_to_synset
concept:100138,domain:adj.all,belongs_to_domain
concept:100139,synset:01522878-v,mapped_to_synset
concept:100139,domain:verb.contact,belongs_to_domain
concept:100140,synset:01523004-v,mapped_to_synset
concept:100140,domain:verb.contact,belongs_to_domain
concept:100141,synset:01523105-v,mapped_to_synset
concept:100141,domain:verb.contact,belongs_to_domain
concept:100142,synset:01523270-v,mapped_to_synset
concept:100142,domain:verb.contact,belongs_to_domain
concept:100143,synset:01523401-v,mapped_to_synset
concept:100143,domain:verb.contact,belongs_to_domain
concept:100144,synset:01523520-v,mapped_to_synset
concept:100144,domain:verb.contact,belongs_to_domain
concept:100145,synset:01523654-v,mapped_to_synset
concept:100145,domain:verb.contact,belongs_to_domain
concept:100146,synset:01523823-v,mapped_to_synset
concept:100146,domain:verb.contact,belongs_to_domain
concept:100147,synset:01523986-v,mapped_to_synset
concept:100147,domain:verb.contact,belongs_to_domain
concept:100148,synset:01524199-v,mapped_to_synset
concept:100148,domain:verb.contact,belongs_to_domain
concept:100149,synset:01524298-v,mapped_to_synset
concept:100149,domain:verb.contact,belongs_to_domain
concept:10015,synset:01991028-n,mapped_to_synset
concept:10015,domain:noun.animal,belongs_to_domain
concept:100150,synset:01524523-v,mapped_to_synset
concept:100150,domain:verb.contact,belongs_to_domain
concept:100151,synset:01524871-v,mapped_to_synset
concept:100151,domain:verb.contact,belongs_to_domain
concept:100152,synset:01525066-v,mapped_to_synset
concept:100152,domain:verb.contact,belongs_to_domain
concept:100153,synset:01525177-v,mapped_to_synset
concept:100153,domain:verb.contact,belongs_to_domain
concept:100154,synset:01525295-v,mapped_to_synset
concept:100154,domain:verb.contact,belongs_to_domain
concept:100155,synset:01525505-v,mapped_to_synset
concept:100155,domain:verb.contact,belongs_to_domain
concept:100156,synset:01525666-v,mapped_to_synset
concept:100156,domain:verb.contact,belongs_to_domain
concept:100157,synset:01526139-v,mapped_to_synset
concept:100157,domain:verb.contact,belongs_to_domain
concept:100158,synset:01526290-v,mapped_to_synset
concept:100158,domain:verb.contact,belongs_to_domain
concept:100159,synset:01526483-v,mapped_to_synset
concept:100159,domain:verb.contact,belongs_to_domain
concept:10016,synset:01991233-n,mapped_to_synset
concept:10016,domain:noun.animal,belongs_to_domain
concept:100160,synset:01526605-v,mapped_to_synset
concept:100160,domain:verb.contact,belongs_to_domain
concept:100161,synset:01526792-v,mapped_to_synset
concept:100161,domain:verb.contact,belongs_to_domain
concept:100162,synset:01526956-v,mapped_to_synset
concept:100162,domain:verb.contact,belongs_to_domain
concept:100163,synset:01527135-v,mapped_to_synset
concept:100163,domain:verb.contact,belongs_to_domain
concept:100164,synset:01527271-v,mapped_to_synset
concept:100164,domain:verb.contact,belongs_to_domain
concept:100165,synset:01527508-v,mapped_to_synset
concept:100165,domain:verb.contact,belongs_to_domain
concept:100166,synset:01527754-v,mapped_to_synset
concept:100166,domain:verb.contact,belongs_to_domain
concept:100167,synset:01527877-v,mapped_to_synset
concept:100167,domain:verb.contact,belongs_to_domain
concept:100168,synset:01528069-v,mapped_to_synset
concept:100168,domain:verb.contact,belongs_to_domain
concept:100169,synset:01528339-v,mapped_to_synset
concept:100169,domain:verb.contact,belongs_to_domain
concept:10017,synset:01991367-n,mapped_to_synset
concept:10017,domain:noun.animal,belongs_to_domain
concept:100170,synset:01528522-v,mapped_to_synset
concept:100170,domain:verb.contact,belongs_to_domain
concept:100171,synset:01528821-v,mapped_to_synset
concept:100171,domain:verb.contact,belongs_to_domain
concept:100172,synset:01529194-v,mapped_to_synset
concept:100172,domain:verb.contact,belongs_to_domain
concept:100173,synset:01529292-v,mapped_to_synset
concept:100173,domain:verb.contact,belongs_to_domain
concept:100174,synset:01529407-v,mapped_to_synset
concept:100174,domain:verb.contact,belongs_to_domain
concept:100175,synset:01529491-v,mapped_to_synset
concept:100175,domain:verb.contact,belongs_to_domain
concept:100176,synset:01529624-v,mapped_to_synset
concept:100176,domain:verb.contact,belongs_to_domain
concept:100177,synset:01529766-v,mapped_to_synset
concept:100177,domain:verb.contact,belongs_to_domain
concept:100178,synset:01529906-v,mapped_to_synset
concept:100178,domain:verb.contact,belongs_to_domain
concept:100179,synset:01530098-v,mapped_to_synset
concept:100179,domain:verb.contact,belongs_to_domain
concept:10018,synset:01991520-n,mapped_to_synset
concept:10018,domain:noun.animal,belongs_to_domain
concept:100180,synset:01530273-v,mapped_to_synset
concept:100180,domain:verb.contact,belongs_to_domain
concept:100181,synset:01530431-v,mapped_to_synset
concept:100181,domain:verb.contact,belongs_to_domain
concept:100182,synset:01530678-v,mapped_to_synset
concept:100182,domain:verb.contact,belongs_to_domain
concept:100183,synset:01530898-v,mapped_to_synset
concept:100183,domain:verb.contact,belongs_to_domain
concept:100184,synset:01531025-v,mapped_to_synset
concept:100184,domain:verb.contact,belongs_to_domain
concept:100185,synset:01531124-v,mapped_to_synset
concept:100185,domain:verb.contact,belongs_to_domain
concept:100186,synset:01531265-v,mapped_to_synset
concept:100186,domain:verb.contact,belongs_to_domain
concept:100187,synset:01531492-v,mapped_to_synset
concept:100187,domain:verb.contact,belongs_to_domain
concept:100188,synset:01531635-v,mapped_to_synset
concept:100188,domain:verb.contact,belongs_to_domain
concept:100189,synset:01531742-v,mapped_to_synset
concept:100189,domain:verb.contact,belongs_to_domain
concept:10019,synset:01991676-n,mapped_to_synset
concept:10019,domain:noun.animal,belongs_to_domain
concept:100190,synset:01531998-v,mapped_to_synset
concept:100190,domain:verb.contact,belongs_to_domain
concept:100191,synset:01532329-v,mapped_to_synset
concept:100191,domain:verb.contact,belongs_to_domain
concept:100192,synset:01532434-v,mapped_to_synset
concept:100192,domain:verb.contact,belongs_to_domain
concept:100193,synset:01532589-v,mapped_to_synset
concept:100193,domain:verb.contact,belongs_to_domain
concept:100194,synset:01533166-v,mapped_to_synset
concept:100194,domain:verb.contact,belongs_to_domain
concept:100195,synset:01533324-v,mapped_to_synset
concept:100195,domain:verb.contact,belongs_to_domain
concept:100196,synset:01533442-v,mapped_to_synset
concept:100196,domain:verb.contact,belongs_to_domain
concept:100197,synset:01533715-v,mapped_to_synset
concept:100197,domain:verb.contact,belongs_to_domain
