id,type,concept_id,wn30_id,domain,language,text,char,ipa,audio_path,char_type,case
synset:01991233-n,Synset,,01991233-n,,,,,,,,
concept:100160,Concept,100160,,,,,,,,,
synset:01526605-v,Synset,,01526605-v,,,,,,,,
concept:100161,Concept,100161,,,,,,,,,
synset:01526792-v,Synset,,01526792-v,,,,,,,,
concept:100162,Concept,100162,,,,,,,,,
synset:01526956-v,Synset,,01526956-v,,,,,,,,
concept:100163,Concept,100163,,,,,,,,,
synset:01527135-v,Synset,,01527135-v,,,,,,,,
concept:100164,Concept,100164,,,,,,,,,
synset:01527271-v,Synset,,01527271-v,,,,,,,,
concept:100165,Concept,100165,,,,,,,,,
synset:01527508-v,Synset,,01527508-v,,,,,,,,
concept:100166,Concept,100166,,,,,,,,,
synset:01527754-v,Synset,,01527754-v,,,,,,,,
concept:100167,Concept,100167,,,,,,,,,
synset:01527877-v,Synset,,01527877-v,,,,,,,,
concept:100168,Concept,100168,,,,,,,,,
synset:01528069-v,Synset,,01528069-v,,,,,,,,
concept:100169,Concept,100169,,,,,,,,,
synset:01528339-v,Synset,,01528339-v,,,,,,,,
concept:10017,Concept,10017,,,,,,,,,
synset:01991367-n,Synset,,01991367-n,,,,,,,,
concept:100170,Concept,100170,,,,,,,,,
synset:01528522-v,Synset,,01528522-v,,,,,,,,
concept:100171,Concept,100171,,,,,,,,,
synset:01528821-v,Synset,,01528821-v,,,,,,,,
concept:100172,Concept,100172,,,,,,,,,
synset:01529194-v,Synset,,01529194-v,,,,,,,,
concept:100173,Concept,100173,,,,,,,,,
synset:01529292-v,Synset,,01529292-v,,,,,,,,
concept:100174,Concept,100174,,,,,,,,,
synset:01529407-v,Synset,,01529407-v,,,,,,,,
concept:100175,Concept,100175,,,,,,,,,
synset:01529491-v,Synset,,01529491-v,,,,,,,,
concept:100176,Concept,100176,,,,,,,,,
synset:01529624-v,Synset,,01529624-v,,,,,,,,
concept:100177,Concept,100177,,,,,,,,,
synset:01529766-v,Synset,,01529766-v,,,,,,,,
concept:100178,Concept,100178,,,,,,,,,
synset:01529906-v,Synset,,01529906-v,,,,,,,,
concept:100179,Concept,100179,,,,,,,,,
synset:01530098-v,Synset,,01530098-v,,,,,,,,
concept:10018,Concept,10018,,,,,,,,,
synset:01991520-n,Synset,,01991520-n,,,,,,,,
concept:100180,Concept,100180,,,,,,,,,
synset:01530273-v,Synset,,01530273-v,,,,,,,,
concept:100181,Concept,100181,,,,,,,,,
synset:01530431-v,Synset,,01530431-v,,,,,,,,
concept:100182,Concept,100182,,,,,,,,,
synset:01530678-v,Synset,,01530678-v,,,,,,,,
concept:100183,Concept,100183,,,,,,,,,
synset:01530898-v,Synset,,01530898-v,,,,,,,,
concept:100184,Concept,100184,,,,,,,,,
synset:01531025-v,Synset,,01531025-v,,,,,,,,
concept:100185,Concept,100185,,,,,,,,,
synset:01531124-v,Synset,,01531124-v,,,,,,,,
concept:100186,Concept,100186,,,,,,,,,
synset:01531265-v,Synset,,01531265-v,,,,,,,,
concept:100187,Concept,100187,,,,,,,,,
synset:01531492-v,Synset,,01531492-v,,,,,,,,
concept:100188,Concept,100188,,,,,,,,,
synset:01531635-v,Synset,,01531635-v,,,,,,,,
concept:100189,Concept,100189,,,,,,,,,
synset:01531742-v,Synset,,01531742-v,,,,,,,,
concept:10019,Concept,10019,,,,,,,,,
synset:01991676-n,Synset,,01991676-n,,,,,,,,
concept:100190,Concept,100190,,,,,,,,,
synset:01531998-v,Synset,,01531998-v,,,,,,,,
concept:100191,Concept,100191,,,,,,,,,
synset:01532329-v,Synset,,01532329-v,,,,,,,,
concept:100192,Concept,100192,,,,,,,,,
synset:01532434-v,Synset,,01532434-v,,,,,,,,
concept:100193,Concept,100193,,,,,,,,,
synset:01532589-v,Synset,,01532589-v,,,,,,,,
concept:100194,Concept,100194,,,,,,,,,
synset:01533166-v,Synset,,01533166-v,,,,,,,,
concept:100195,Concept,100195,,,,,,,,,
synset:01533324-v,Synset,,01533324-v,,,,,,,,
concept:100196,Concept,100196,,,,,,,,,
synset:01533442-v,Synset,,01533442-v,,,,,,,,
concept:100197,Concept,100197,,,,,,,,,
synset:01533715-v,Synset,,01533715-v,,,,,,,,
concept:100198,Concept,100198,,,,,,,,,
synset:01533851-v,Synset,,01533851-v,,,,,,,,
concept:100199,Concept,100199,,,,,,,,,
synset:01534043-v,Synset,,01534043-v,,,,,,,,
concept:1002,Concept,1002,,,,,,,,,
synset:00216607-n,Synset,,00216607-n,,,,,,,,
concept:10020,Concept,10020,,,,,,,,,
synset:01991808-n,Synset,,01991808-n,,,,,,,,
concept:100200,Concept,100200,,,,,,,,,
synset:01534147-v,Synset,,01534147-v,,,,,,,,
concept:100201,Concept,100201,,,,,,,,,
synset:01534609-v,Synset,,01534609-v,,,,,,,,
concept:100202,Concept,100202,,,,,,,,,
synset:01534745-v,Synset,,01534745-v,,,,,,,,
concept:100203,Concept,100203,,,,,,,,,
synset:01535002-v,Synset,,01535002-v,,,,,,,,
concept:100204,Concept,100204,,,,,,,,,
synset:01535117-v,Synset,,01535117-v,,,,,,,,
concept:100205,Concept,100205,,,,,,,,,
synset:01535246-v,Synset,,01535246-v,,,,,,,,
concept:100206,Concept,100206,,,,,,,,,
synset:01535742-v,Synset,,01535742-v,,,,,,,,
concept:100207,Concept,100207,,,,,,,,,
synset:01535915-v,Synset,,01535915-v,,,,,,,,
concept:100208,Concept,100208,,,,,,,,,
synset:01536076-v,Synset,,01536076-v,,,,,,,,
concept:100209,Concept,100209,,,,,,,,,
synset:01536168-v,Synset,,01536168-v,,,,,,,,
concept:10021,Concept,10021,,,,,,,,,
synset:01991982-n,Synset,,01991982-n,,,,,,,,
concept:100210,Concept,100210,,,,,,,,,
synset:01536344-v,Synset,,01536344-v,,,,,,,,
concept:100211,Concept,100211,,,,,,,,,
synset:01536508-v,Synset,,01536508-v,,,,,,,,
concept:100212,Concept,100212,,,,,,,,,
